Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X10, mRNA",Pan troglodytes,12669,12669,100%,0.0,98.98,7107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669713.2?report=genbank&log$=nucltop&blast_rank=85&RID=X1JR6XB8016"",""XM_054669713.2"")"
"PREDICTED: Gorilla gorilla gorilla BRCA1 DNA repair associated (BRCA1), transcript variant X1, mRNA",Gorilla gorilla gorilla,12658,12658,100%,0.0,98.89,7247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_031011552.3?report=genbank&log$=nucltop&blast_rank=86&RID=X1JR6XB8016"",""XM_031011552.3"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X16, mRNA",Pan troglodytes,12650,12650,100%,0.0,98.94,7104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669718.2?report=genbank&log$=nucltop&blast_rank=87&RID=X1JR6XB8016"",""XM_054669718.2"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 109, mRNA",Homo sapiens,12639,12958,99%,0.0,99.99,7147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407726.1?report=genbank&log$=nucltop&blast_rank=88&RID=X1JR6XB8016"",""NM_001407726.1"")"
"PREDICTED: Gorilla gorilla gorilla BRCA1 DNA repair associated (BRCA1), transcript variant X7, mRNA",Gorilla gorilla gorilla,12637,12637,100%,0.0,98.85,7244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_031011556.3?report=genbank&log$=nucltop&blast_rank=89&RID=X1JR6XB8016"",""XM_031011556.3"")"
"PREDICTED: Gorilla gorilla gorilla BRCA1 DNA repair associated (BRCA1), transcript variant X4, mRNA",Gorilla gorilla gorilla,12637,12637,100%,0.0,98.85,7211,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_055388012.2?report=genbank&log$=nucltop&blast_rank=90&RID=X1JR6XB8016"",""XM_055388012.2"")"
"PREDICTED: Gorilla gorilla gorilla BRCA1 DNA repair associated (BRCA1), transcript variant X3, mRNA",Gorilla gorilla gorilla,12637,12637,100%,0.0,98.85,7244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_031011555.3?report=genbank&log$=nucltop&blast_rank=91&RID=X1JR6XB8016"",""XM_031011555.3"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 3, mRNA",Homo sapiens,12634,12952,99%,0.0,100.00,7028,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_007297.4?report=genbank&log$=nucltop&blast_rank=92&RID=X1JR6XB8016"",""NM_007297.4"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 102, mRNA",Homo sapiens,12634,13091,100%,0.0,100.00,7204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407694.1?report=genbank&log$=nucltop&blast_rank=93&RID=X1JR6XB8016"",""NM_001407694.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 101, mRNA",Homo sapiens,12634,12808,98%,0.0,100.00,6935,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407692.1?report=genbank&log$=nucltop&blast_rank=94&RID=X1JR6XB8016"",""NM_001407692.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 104, mRNA",Homo sapiens,12634,13094,100%,0.0,100.00,7349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407696.1?report=genbank&log$=nucltop&blast_rank=95&RID=X1JR6XB8016"",""NM_001407696.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 107, mRNA",Homo sapiens,12634,13094,100%,0.0,100.00,7738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407724.1?report=genbank&log$=nucltop&blast_rank=96&RID=X1JR6XB8016"",""NM_001407724.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 106, mRNA",Homo sapiens,12634,12991,99%,0.0,100.00,7034,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407698.1?report=genbank&log$=nucltop&blast_rank=97&RID=X1JR6XB8016"",""NM_001407698.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 103, mRNA",Homo sapiens,12634,13054,100%,0.0,99.99,7202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407695.1?report=genbank&log$=nucltop&blast_rank=98&RID=X1JR6XB8016"",""NM_001407695.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 110, mRNA",Homo sapiens,12634,13094,100%,0.0,100.00,7376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407727.1?report=genbank&log$=nucltop&blast_rank=99&RID=X1JR6XB8016"",""NM_001407727.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 114, mRNA",Homo sapiens,12634,13052,100%,0.0,100.00,7198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407731.1?report=genbank&log$=nucltop&blast_rank=100&RID=X1JR6XB8016"",""NM_001407731.1"")"



		


